Timestamp,1. What is your gender? ,2. What is your age range? ,3. Which best describes you?,4. Have you ever needed medical calculators or clinical scoring tools in your practice or training?,"5. Before today, were you aware of online medical calculator platforms?",6. How useful do you think CalcForDocs would be in your clinical work or training?,7. How easy do you think it would be to access CalcForDocs when needed?,8. How easy do you think CalcForDocs would be to use?,9. How likely are you to pay for a medical calculator tool?,10. Do you currently use any similar medical calculator tools?,"11. If yes, which tool(s) do you use?","12. Compared with similar tools, how likely would you be to try CalcForDocs?",13. Would you trust a healthcare platform developed by Nigerian healthcare professionals if it provides accurate and evidence-based calculations?,14. How likely are you to recommend CalcForDocs to colleagues if it meets your needs?,15. What additional features would you like to see in CalcForDocs?
19/06/2026 22:11:07,Male,30-39,Medical Officer,Rarely,Somewhat familiar,Very useful,Somewhat easy,Easy,Likey,No,,Likely,Yes,Very likely,Anything beneficial 
19/06/2026 22:29:10,Male,20-29,Medical Officer,Occasionally,Not familiar,Very useful,Somewhat easy,Easy,Uncertain,No,,Likely,Yes,Very likely,
19/06/2026 22:31:19,Male,20-29,Medical Officer,Occasionally,Somewhat familiar,Very useful,Very easy,Very easy,Likey,No,,Very likely,Yes,Very likely,
19/06/2026 22:33:58,Male,20-29,Resident Doctor,Frequently,Very familiar,Very useful,Very easy,Very easy,Likey,No,,Likely,Yes,Very likely,
19/06/2026 22:36:14,Male,30-39,Medical Officer,Occasionally,Not familiar,Very useful,Somewhat easy,Easy,Likey,No,,Likely,Yes,Very likely,Normal ranges of some laboratory parameters 
19/06/2026 22:53:16,Female,20-29,Medical Officer,Frequently,Very familiar,Very useful,Very easy,Very easy,Very likely,Yes,Medscape calculator,Very likely,Yes,Very likely,
19/06/2026 23:08:06,Male,30-39,Medical Officer,Occasionally,Somewhat familiar,Moderately useful,Very easy,Easy,Likey,No,,Likely,Yes,Likely,
19/06/2026 23:11:47,Male,30-39,Medical Officer,Occasionally,Somewhat familiar,Very useful,Somewhat easy,Easy,Very likely,Yes,MedScape,Very likely,Yes,Very likely,Offline mode 
19/06/2026 23:13:30,Male,20-29,Medical Officer,Occasionally,Somewhat familiar,Slightly useful,Very easy,Very easy,Uncertain,No,,Very likely,Yes,Very likely,
19/06/2026 23:33:54,Male,30-39,Medical Officer,Frequently,Very familiar,Very useful,Very easy,Very easy,Unlikely,Yes,MDCalc,Likely,Yes,Very likely,
19/06/2026 23:43:42,Female,30-39,Medical Officer,Frequently,Somewhat familiar,Very useful,Very easy,Easy,Likey,No,,Likely,Yes,Likely,
20/06/2026 01:02:25,Male,30-39,Medical Officer,Frequently,Somewhat familiar,Very useful,Very easy,Easy,Likey,No,,Very likely,Yes,Very likely,
20/06/2026 01:30:44,Male,30-39,Medical Officer,Occasionally,Very familiar,Very useful,Very easy,Easy,Likey,Yes,"CKD epid, medscape",Very likely,Yes,Very likely,
20/06/2026 05:25:32,Male,40-50,Consultant,Occasionally,Very familiar,Moderately useful,Very easy,Easy,Likey,No,,Likely,Yes,Very likely,
20/06/2026 05:57:15,Male,30-39,Medical Officer,Frequently,Somewhat familiar,Very useful,Very easy,Very easy,Likey,No,,Uncertain,Yes,Very likely,
